Date,HomeTeam,AwayTeam,FTHG,FTAG
11/08/2023,Almeria,Vallecano,0,2
11/08/2023,Sevilla,Valencia,1,2
12/08/2023,Sociedad,Girona,1,1
12/08/2023,Las Palmas,Mallorca,1,1
12/08/2023,Ath Bilbao,Real Madrid,0,2
13/08/2023,Celta,Osasuna,0,2
13/08/2023,Villarreal,Betis,1,2
13/08/2023,Getafe,Barcelona,0,0
14/08/2023,Cadiz,Alaves,1,0
14/08/2023,Ath Madrid,Granada,3,1
18/08/2023,Mallorca,Villarreal,0,1
18/08/2023,Valencia,Las Palmas,1,0
19/08/2023,Sociedad,Celta,1,1
19/08/2023,Almeria,Real Madrid,1,3
19/08/2023,Osasuna,Ath Bilbao,0,2
20/08/2023,Girona,Getafe,3,0
20/08/2023,Barcelona,Cadiz,2,0
20/08/2023,Betis,Ath Madrid,0,0
21/08/2023,Alaves,Sevilla,4,3
21/08/2023,Granada,Vallecano,0,2
25/08/2023,Las Palmas,Sociedad,0,0
25/08/2023,Celta,Real Madrid,0,1
26/08/2023,Cadiz,Almeria,1,1
26/08/2023,Granada,Mallorca,3,2
26/08/2023,Sevilla,Girona,1,2
27/08/2023,Villarreal,Barcelona,3,4
27/08/2023,Valencia,Osasuna,1,2
27/08/2023,Ath Bilbao,Betis,4,2
28/08/2023,Getafe,Alaves,1,0
28/08/2023,Vallecano,Ath Madrid,0,7
01/09/2023,Cadiz,Villarreal,3,1
01/09/2023,Almeria,Celta,2,3
02/09/2023,Sociedad,Granada,5,3
02/09/2023,Real Madrid,Getafe,2,1
02/09/2023,Alaves,Valencia,1,0
02/09/2023,Betis,Vallecano,1,0
03/09/2023,Girona,Las Palmas,1,0
03/09/2023,Mallorca,Ath Bilbao,0,0
03/09/2023,Osasuna,Barcelona,1,2
15/09/2023,Vallecano,Alaves,2,0
16/09/2023,Ath Bilbao,Cadiz,3,0
16/09/2023,Valencia,Ath Madrid,3,0
16/09/2023,Celta,Mallorca,0,1
16/09/2023,Barcelona,Betis,5,0
17/09/2023,Getafe,Osasuna,3,2
17/09/2023,Villarreal,Almeria,2,1
17/09/2023,Sevilla,Las Palmas,1,0
17/09/2023,Real Madrid,Sociedad,2,1
18/09/2023,Granada,Girona,2,4
22/09/2023,Alaves,Ath Bilbao,0,2
23/09/2023,Girona,Mallorca,5,3
23/09/2023,Osasuna,Sevilla,0,0
23/09/2023,Barcelona,Celta,3,2
23/09/2023,Almeria,Valencia,2,2
24/09/2023,Sociedad,Getafe,4,3
24/09/2023,Vallecano,Villarreal,1,1
24/09/2023,Betis,Cadiz,1,1
24/09/2023,Las Palmas,Granada,1,0
24/09/2023,Ath Madrid,Real Madrid,3,1
26/09/2023,Sevilla,Almeria,5,1
26/09/2023,Mallorca,Barcelona,2,2
27/09/2023,Ath Bilbao,Getafe,2,2
27/09/2023,Real Madrid,Las Palmas,2,0
27/09/2023,Villarreal,Girona,1,2
27/09/2023,Cadiz,Vallecano,0,0
27/09/2023,Valencia,Sociedad,0,1
28/09/2023,Celta,Alaves,1,1
28/09/2023,Granada,Betis,1,1
28/09/2023,Osasuna,Ath Madrid,0,2
29/09/2023,Barcelona,Sevilla,1,0
30/09/2023,Getafe,Villarreal,0,0
30/09/2023,Vallecano,Mallorca,2,2
30/09/2023,Girona,Real Madrid,0,3
30/09/2023,Sociedad,Ath Bilbao,3,0
01/10/2023,Almeria,Granada,3,3
01/10/2023,Alaves,Osasuna,0,2
01/10/2023,Ath Madrid,Cadiz,3,2
01/10/2023,Betis,Valencia,3,0
02/10/2023,Las Palmas,Celta,2,1
06/10/2023,Ath Bilbao,Almeria,3,0
07/10/2023,Cadiz,Girona,0,1
07/10/2023,Real Madrid,Osasuna,4,0
07/10/2023,Mallorca,Valencia,1,1
07/10/2023,Sevilla,Vallecano,2,2
08/10/2023,Villarreal,Las Palmas,1,2
08/10/2023,Ath Madrid,Sociedad,2,1
08/10/2023,Alaves,Betis,1,1
08/10/2023,Celta,Getafe,2,2
08/10/2023,Granada,Barcelona,2,2
20/10/2023,Osasuna,Granada,2,0
21/10/2023,Sociedad,Mallorca,1,0
21/10/2023,Getafe,Betis,1,1
21/10/2023,Sevilla,Real Madrid,1,1
21/10/2023,Celta,Ath Madrid,0,3
22/10/2023,Las Palmas,Vallecano,0,1
22/10/2023,Girona,Almeria,5,2
22/10/2023,Villarreal,Alaves,1,1
22/10/2023,Barcelona,Ath Bilbao,1,0
23/10/2023,Valencia,Cadiz,2,0
27/10/2023,Girona,Celta,1,0
28/10/2023,Almeria,Las Palmas,1,2
28/10/2023,Barcelona,Real Madrid,1,2
28/10/2023,Mallorca,Getafe,0,0
28/10/2023,Cadiz,Sevilla,2,2
29/10/2023,Betis,Osasuna,2,1
29/10/2023,Vallecano,Sociedad,2,2
29/10/2023,Ath Bilbao,Valencia,2,2
29/10/2023,Ath Madrid,Alaves,2,1
30/10/2023,Granada,Villarreal,2,3
03/11/2023,Las Palmas,Ath Madrid,2,1
04/11/2023,Osasuna,Girona,2,4
04/11/2023,Betis,Mallorca,2,0
04/11/2023,Celta,Sevilla,1,1
04/11/2023,Sociedad,Barcelona,0,1
